# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-6.00343,4,2.14371
-1.150485,9,2.145858
-0.935137,5,2.146019
3.401171,6,2.148004
0.504356,8,2.148035
-8.942246,8,2.150093
-2.259975,4,2.154291
-2.796663,2,2.154301
-5.861208,6,2.156173
0.798895,7,2.156413
-3.963136,5,2.158364
-5.614431,10,2.158536
-6.227007,9,2.164439
-4.243765,6,2.16639
-2.453283,5,2.16663
-5.176419,6,2.16676
-6.813699,6,2.168672
-2.365372,10,2.169005
-2.957095,4,2.176771
-5.32745,5,2.177012
-5.115132,5,2.177057
-6.553114,6,2.177095
-5.669409,5,2.179102
-3.357598,13,2.185174
-14.101288,14,2.187178
-0.476782,5,2.187245
-5.106371,5,2.189505
-1.698811,6,2.189509
-2.370698,11,2.189616
-0.368502,8,2.19397
-5.810089,5,2.197736
-3.756744,4,2.197905
-3.303309,7,2.199915
-7.738763,11,2.200179
-3.81194,7,2.202024
-5.36756,6,2.202281
-0.14714,6,2.202389
-2.589271,4,2.20635
-2.610421,3,2.206475
-2.972417,6,2.206643
-2.320964,4,2.210371
-1.89585,6,2.210541
-2.551692,3,2.212924
-4.44785,6,2.214837
-3.192446,4,2.214902
-4.430981,8,2.217119
-3.11922,2,2.217128
-6.339188,8,2.21935
-6.78069,6,2.223299
-5.765338,8,2.223304
-3.134726,4,2.223486
-2.410597,7,2.225291
-1.770553,4,2.227443
-1.313274,5,2.227639
0.764442,6,2.229839
-5.262255,8,2.231724
-1.096542,6,2.235691
-0.748762,5,2.235817
-2.199331,4,2.235822
-3.582159,6,2.239782
-6.426975,8,2.239862
-4.067234,3,2.241809
-6.124093,6,2.241875
-3.322091,9,2.24198
-2.417762,3,2.242082
-1.999034,2,2.246142
-2.851952,8,2.247907
-2.292351,4,2.250234
-2.782139,5,2.252559
-3.309112,3,2.254546
-4.519236,7,2.256645
-2.935093,4,2.258577
-1.971601,9,2.258739
-3.705155,5,2.262703
-4.177595,11,2.262705
-3.281489,3,2.262732
-5.81626,14,2.264704
-6.692287,9,2.264837
-3.968645,5,2.264862
-2.273297,2,2.267007
-5.119036,7,2.273105
-4.735383,6,2.274983
1.197001,5,2.275115
-7.532975,6,2.279016
-1.86586,7,2.27902
1.470475,8,2.279423
-1.814161,8,2.281268
-2.004692,6,2.287263
-6.746305,7,2.287304
-0.680184,5,2.289377
-4.159345,5,2.28938
-7.589262,16,2.291364
-3.823215,5,2.291527
-2.759123,2,2.291559
-1.61218,10,2.295424
-2.128712,3,2.29563
-2.593185,5,2.297796
-0.875573,4,2.299892
-0.83525,5,2.299897
1.018738,11,2.3021
-3.719703,6,2.304065
-2.097163,4,2.304116
-3.428494,8,2.30821
-1.660609,8,2.314295
-2.301055,4,2.316231
-9.025745,6,2.316442
-2.139433,7,2.318397
-7.137643,9,2.320838
-2.581029,11,2.323072
-4.508428,4,2.325072
-0.69586,14,2.325387
-6.018441,5,2.327433
-9.08469,13,2.327552
-3.66303,5,2.329627
-2.50243,3,2.331955
-3.66165,3,2.333842
-8.029769,6,2.335925
-2.253503,7,2.336153
-7.632937,8,2.342321
2.542267,13,2.342333
-3.919684,4,2.344247
-2.221176,7,2.346598
-1.469853,7,2.348476
-4.803642,9,2.348642
-5.878553,7,2.350816
-5.253698,5,2.353008
-2.542802,2,2.355145
-6.96433,7,2.357201
-9.901065,14,2.357215
-1.344293,8,2.361039
-0.514134,6,2.361131
-2.199112,3,2.361282
-7.287737,7,2.36316
-6.01493,9,2.3653
-5.458166,5,2.367312
-1.18299,3,2.367372
-6.514008,6,2.369477
-1.732393,8,2.369484
-4.553438,5,2.371552
-6.522383,5,2.37159
-4.184302,7,2.379773
-5.451076,6,2.379989
-0.849622,4,2.380004
-1.23882,7,2.381953
-1.419026,6,2.382125
-6.067528,6,2.384241
0.097769,10,2.384293
-3.422883,4,2.388241
-2.746787,4,2.388269
-3.887648,10,2.390339
-3.6382,4,2.39042
-3.803489,4,2.392583
1.082354,6,2.39454
-4.726326,3,2.394541
-3.855512,5,2.394625
-4.876778,3,2.394717
-1.737601,3,2.396871
-2.766302,3,2.400825
-1.091893,5,2.401228
-3.032322,4,2.403369
-4.550553,6,2.407325
2.81198,13,2.407331
-2.375911,3,2.407366
-5.113328,5,2.407583
-4.551327,7,2.4095
-7.202872,9,2.411657
-3.482653,5,2.411824
-3.023301,2,2.41396
-3.00678,2,2.416005
-3.163785,4,2.416022
-3.698634,6,2.420075
-0.230531,6,2.420091
0.342665,9,2.422379
-1.808594,3,2.426281
-4.393206,7,2.426338
-3.42128,5,2.42651
3.769548,10,2.428669
-3.096386,3,2.42876
-5.61103,6,2.42897
-1.046654,4,2.43543
-6.475769,7,2.435538
-0.842508,3,2.435646
-1.289629,4,2.438013
-2.034336,3,2.442185
-4.934979,6,2.442239
-3.310613,3,2.442339
0.642046,7,2.442403
0.490382,7,2.442429
-1.37648,13,2.442873
-4.43715,3,2.445291
-2.669339,2,2.447376
-3.1483,3,2.449745
-4.511695,4,2.451846
-3.714812,3,2.452321
-0.387485,5,2.454321
-1.815632,5,2.454602
-4.023884,3,2.457011
1.999831,10,2.459213
-0.829309,3,2.459692
-5.460581,8,2.461597
-1.540983,6,2.461681
-4.257406,3,2.468184
-4.157032,6,2.468249
-2.193217,4,2.468395
-1.307205,3,2.468503
-4.506156,6,2.468554
-3.655484,6,2.471098
-2.535191,5,2.471108
-0.005829,9,2.473356
-1.386325,5,2.479772
-3.8961,6,2.481795
1.263752,7,2.483956
-4.314882,8,2.485927
-2.821335,8,2.48596
-2.378248,4,2.488133
-0.216911,9,2.490275
-2.197563,3,2.492581
2.425138,10,2.494427
-6.912069,6,2.496562
-4.645337,5,2.496764
-2.129256,3,2.497067
-3.311209,12,2.497215
-7.811062,6,2.50143
-3.016133,3,2.503539
-4.82857,3,2.503753
-1.19679,11,2.505717
-0.583841,5,2.507749
-5.807666,7,2.509983
-2.95963,3,2.514107
-2.710623,10,2.514113
-7.664292,5,2.514321
-5.105131,5,2.516322
-1.140689,7,2.516391
-4.610857,3,2.516525
-4.827359,7,2.518791
0.223192,11,2.521307
-3.106791,3,2.52338
-2.919213,2,2.526823
-3.005143,7,2.531641
-2.782098,5,2.53204
-7.330379,7,2.534149
-0.288466,7,2.534208
-1.938787,4,2.536476
-0.01149,9,2.536887
-3.231161,6,2.539059
-3.184635,4,2.543417
-2.349287,3,2.543636
-8.702418,5,2.54403
-6.823069,5,2.546037
-4.074574,7,2.54834
-3.394826,5,2.54894
-3.02963,3,2.551124
