# {"t_start": 1587022198.6629272, "env_id": "DartHopperPT-v1"} 
r,l,t
-2.134968,5,2.722572
-2.969209,6,2.727692
-3.414655,8,2.734682
-3.257399,4,2.73805
-3.744965,14,2.75
-4.246288,6,2.75545
-0.081264,4,2.759153
0.079718,10,2.767696
-1.512311,6,2.772616
-2.806069,5,2.777083
-2.650494,7,2.784103
-1.298639,3,2.787007
-4.211463,6,2.792978
-2.014613,3,2.795525
-2.157477,4,2.799116
-2.018212,4,2.802836
-3.545772,12,2.813848
-2.718206,3,2.816609
-2.201088,5,2.821777
-2.821919,5,2.82634
-0.505348,6,2.831919
-1.565684,3,2.834781
-2.974749,4,2.838347
-4.35341,3,2.840879
-0.632022,5,2.845403
-4.390919,3,2.848084
-6.165672,4,2.852087
-2.222531,6,2.857834
7.521701,11,2.868007
-5.94931,8,2.876442
0.817642,6,2.881998
6.921104,9,2.890826
-5.939553,6,2.896543
-2.639367,6,2.902015
-1.271573,3,2.904916
-5.631839,6,2.910759
1.175493,8,2.918206
-4.566967,5,2.923357
0.001255,9,2.931373
-3.929637,5,2.935815
-4.720699,6,2.941215
-2.028608,3,2.943772
-1.387761,4,2.947397
-4.832769,6,2.953279
-4.106982,3,2.956235
-2.212788,7,2.962779
-2.531158,6,2.968113
-0.089528,7,2.97427
-6.255252,11,2.984717
-3.080894,8,2.991472
-0.634199,6,2.996711
-5.423897,7,3.003027
0.180814,6,3.008325
0.415087,7,3.014339
-3.977635,15,3.027181
-0.595623,7,3.033122
-2.618964,4,3.036666
-2.953277,8,3.04382
-1.376356,7,3.049786
-4.509846,4,3.053415
-2.168362,5,3.05737
4.342473,11,3.066789
-4.302335,4,3.070507
-3.328867,4,3.074158
-0.883952,4,3.077789
-4.009227,3,3.080433
3.43058,9,3.088593
-2.642307,3,3.091292
-3.770617,4,3.094807
-4.683505,6,3.100147
-2.358607,3,3.103068
3.322037,11,3.112452
-2.707677,4,3.116162
-3.173265,3,3.118644
-5.35182,7,3.125258
-0.695409,8,3.132123
-3.639902,8,3.139396
-2.696005,7,3.14616
-3.098771,10,3.155049
-2.521076,4,3.158373
-2.006521,7,3.164287
1.563409,7,3.170167
2.327786,7,3.176103
-1.456037,3,3.178962
-2.440689,4,3.182587
-4.244435,4,3.186319
-3.949414,8,3.19279
-2.928151,2,3.194865
0.166517,5,3.199514
-3.360413,3,3.202284
-3.556545,5,3.20695
-1.367144,10,3.215078
-3.84297,9,3.223189
-4.502669,6,3.841306
-4.628369,6,3.850481
-1.661237,6,3.86038
0.527876,10,3.875257
-2.455493,3,3.880532
2.19555,15,3.902727
6.947951,12,3.914706
-1.662556,4,3.918702
-3.432704,6,3.924487
-1.260423,7,3.930978
-4.30637,5,3.935365
1.547503,8,3.943037
-3.021171,4,3.946698
2.473068,8,3.95363
-2.648048,4,3.957757
-2.140899,3,3.960442
-0.615822,4,3.964133
3.223929,11,3.973719
-3.22634,3,3.976594
2.680252,11,3.986475
-8.351648,13,3.998373
-4.286256,8,4.004987
0.090379,5,4.009315
-6.646841,8,4.016121
-2.107274,9,4.023212
-0.399315,10,4.032105
-1.346125,6,4.038329
0.82596,9,4.045741
6.48398,10,4.055004
0.650378,9,4.063195
4.537326,6,4.069126
-4.866219,3,4.072103
0.007028,4,4.075746
-2.655935,7,4.081589
1.722712,7,4.087664
-2.424477,5,4.091885
3.532621,7,4.098342
-1.89693,5,4.102656
-2.870024,7,4.108721
-2.996413,5,4.113141
-2.278744,3,4.116395
-2.779464,3,4.119212
-2.629612,2,4.121192
-1.909293,8,4.12922
-1.863163,4,4.132877
-2.949446,4,4.136481
-2.154177,5,4.140824
-2.627645,5,4.145202
-3.250192,7,4.15144
-2.324058,11,4.161103
-3.272937,5,4.165624
-4.313375,5,4.169857
-0.789843,6,4.175402
-2.294273,4,4.179963
-3.738662,6,4.18651
2.753885,15,4.201275
-6.21292,5,4.206241
-0.763538,5,4.211026
2.205363,6,4.217002
-2.498927,4,4.221356
-7.475524,7,4.228512
-0.356665,5,4.233312
-6.146822,10,4.242635
-1.385068,4,4.246624
-0.267177,8,4.255051
0.240761,4,4.259975
-4.998622,4,4.26452
6.404523,10,4.273813
-0.625622,9,4.281998
-0.343042,6,4.287766
2.583331,10,4.297087
-1.851177,5,4.302144
-1.622808,7,4.308797
-9.156238,15,4.323624
-2.224409,3,4.326422
-4.370496,4,4.330222
2.81573,7,4.337238
-1.242302,6,4.343349
-1.77034,6,4.34981
0.745882,9,4.358434
-2.949322,6,4.364338
-4.015924,4,4.368406
-4.813502,6,4.373767
-7.043933,15,4.387727
-3.133542,5,4.392276
-1.967179,10,4.401505
-3.414704,4,4.405179
-6.766833,6,4.410734
4.399189,10,4.41946
-1.15659,6,4.425125
0.793613,9,4.433188
1.184719,11,4.442776
-3.347601,5,4.447485
-1.788786,4,4.451113
1.731872,7,4.457515
-1.103989,6,4.463374
-1.372271,4,4.466974
-3.171499,6,4.472236
-1.277362,5,4.476997
-2.750411,4,4.480865
-2.800894,5,4.485503
-2.874956,5,4.490159
-0.723203,6,4.495445
-0.436789,4,4.499508
-3.41152,3,4.502306
-5.22506,6,4.507503
-2.030006,6,4.512927
0.085368,5,4.517453
-2.798495,3,4.520287
-2.704662,3,4.523062
3.063832,11,4.533396
-3.622969,6,4.538842
-1.643583,3,4.541776
-5.160335,4,4.545013
-2.229407,5,4.549258
-5.392494,4,4.552682
-1.768094,8,4.559878
-3.601527,3,4.562625
-1.832535,5,4.566809
-1.867057,10,4.575229
-2.860228,2,4.577278
-2.299325,4,4.580671
-3.107663,7,4.586875
9.392381,11,4.59652
-5.696558,13,4.608186
-2.367322,5,4.612403
-1.027858,3,4.615404
-2.997381,3,4.618105
-2.754829,5,4.622462
-2.710876,4,4.626092
-3.294937,8,4.633357
-2.79874,5,4.638628
-0.087359,4,4.64322
6.533537,10,4.653129
-1.913418,4,4.657189
-2.424064,4,4.661045
1.665238,5,4.666083
-4.647724,3,4.669073
-2.280808,4,4.672865
0.389993,8,4.680721
-0.339833,5,4.685788
-1.372281,3,4.688893
0.478348,8,4.696806
-3.038785,6,4.702231
-2.832737,3,4.705372
-3.802905,3,4.708848
-5.235701,5,4.714585
-1.607871,3,4.718284
-3.751053,5,4.72331
3.260738,8,4.730452
-2.454897,7,4.736786
0.398326,6,4.742351
-0.832445,5,4.747065
-5.08306,5,4.751483
0.953641,11,4.761374
0.959522,11,4.770802
-2.62945,4,4.774242
-4.21514,3,4.776958
-3.432715,4,4.780623
-2.439381,4,4.784127
-3.204894,2,4.786116
-1.782206,4,4.78949
-5.791463,7,4.795602
5.283688,15,4.809909
