# {"t_start": 1587937024.6172903, "env_id": "DartHopperPT-v1"} 
r,l,t
-6.00343,4,2.206109
-0.935137,5,2.208417
-1.150485,9,2.209143
3.401171,6,2.211844
0.504356,8,2.211847
-8.942246,8,2.214673
-2.796663,2,2.219317
-2.259975,4,2.21932
-5.861208,6,2.221314
0.798895,7,2.221401
-3.963136,5,2.223366
-5.614431,10,2.223586
-6.227007,9,2.229642
-2.453283,5,2.231545
-5.176419,6,2.231674
-4.243765,6,2.23171
-6.813699,6,2.233715
-2.365372,10,2.233911
-5.115132,5,2.241732
-2.957095,4,2.24178
-5.32745,5,2.24186
-6.553114,6,2.241968
-5.669409,5,2.244022
-3.357598,13,2.25009
-14.101288,14,2.252074
-0.476782,5,2.252134
-1.698811,6,2.254177
-5.106371,5,2.254369
-2.370698,11,2.254417
-0.368502,8,2.258483
-3.756744,4,2.262128
-5.810089,5,2.262152
-3.303309,7,2.264221
-7.738763,11,2.26446
-3.81194,7,2.26631
-0.14714,6,2.266521
-5.36756,6,2.266586
-2.589271,4,2.270441
-2.610421,3,2.270587
-2.972417,6,2.270751
-1.89585,6,2.274754
-2.320964,4,2.274814
-2.551692,3,2.277024
-4.44785,6,2.278957
-3.192446,4,2.27901
-4.430981,8,2.280975
-3.11922,2,2.280999
-6.339188,8,2.28293
-6.78069,6,2.289372
-5.765338,8,2.289385
-3.134726,4,2.289629
-2.410597,7,2.291856
-1.770553,4,2.294016
-1.313274,5,2.294408
0.764442,6,2.296945
-5.262255,8,2.299206
-2.199331,4,2.303143
-1.096542,6,2.303178
-0.748762,5,2.303478
-3.582159,6,2.307402
-6.426975,8,2.307695
-6.124093,6,2.309577
-4.067234,3,2.309705
-2.417762,3,2.309758
-3.322091,9,2.309994
-1.999034,2,2.314388
-2.851952,8,2.316289
-2.292351,4,2.318455
-2.782139,5,2.320613
-3.309112,3,2.322479
-4.519236,7,2.324641
-2.935093,4,2.326609
-1.971601,9,2.32682
-4.177595,11,2.330627
-3.281489,3,2.330871
-3.705155,5,2.330878
-3.968645,5,2.332816
-6.692287,9,2.332961
-5.81626,14,2.332962
-2.273297,2,2.335067
-5.119036,7,2.34115
1.197001,5,2.343154
-4.735383,6,2.343196
-7.532975,6,2.347144
-1.86586,7,2.347172
1.470475,8,2.347226
-1.814161,8,2.34926
-2.004692,6,2.354987
-6.746305,7,2.355036
-0.680184,5,2.357084
-4.159345,5,2.357141
-2.759123,2,2.359021
-7.589262,16,2.359053
-3.823215,5,2.359176
-1.61218,10,2.365353
-2.128712,3,2.365476
-2.593185,5,2.369595
-0.83525,5,2.372116
-0.875573,4,2.372252
1.018738,11,2.374837
-2.097163,4,2.376859
-3.719703,6,2.377095
-3.428494,8,2.381986
-1.660609,8,2.388684
-9.025745,6,2.391219
-2.301055,4,2.391288
-2.139433,7,2.393758
-7.137643,9,2.396715
-2.581029,11,2.399062
-4.508428,4,2.401504
-0.69586,14,2.401828
-9.08469,13,2.404454
-6.018441,5,2.404563
-3.66303,5,2.407034
-2.50243,3,2.409685
-3.66165,3,2.411751
-8.029769,6,2.414215
-2.253503,7,2.414579
2.542267,13,2.421265
-7.632937,8,2.42144
-3.919684,4,2.423642
-2.221176,7,2.425859
-1.469853,7,2.427788
-4.803642,9,2.427838
-5.878553,7,2.429986
-5.253698,5,2.432479
-2.542802,2,2.434707
-9.901065,14,2.437166
-6.96433,7,2.437276
-0.514134,6,2.441303
-1.344293,8,2.441373
-2.199112,3,2.441415
-7.287737,7,2.44353
-6.01493,9,2.445686
-1.18299,3,2.447644
-5.458166,5,2.447994
-6.514008,6,2.45003
-1.732393,8,2.450097
-6.522383,5,2.452062
-4.553438,5,2.452334
-4.184302,7,2.461283
-0.849622,4,2.46132
-5.451076,6,2.461834
-1.23882,7,2.463726
-1.419026,6,2.464086
-6.067528,6,2.466179
0.097769,10,2.466333
-3.422883,4,2.470431
-2.746787,4,2.470823
-3.887648,10,2.472881
-3.6382,4,2.473117
